TOPIC,LINK,AGENCY,AMOUNT,CLOSE DATE,ADDITIONAL INFO
AF192-024: Cognitive Fully Autonomous Sensor Technology (CFAST),https://www.sbir.gov/sbirsearch/detail/1605971,Air Force - DoD,,7/1/19,
AF192-025: Fully Adaptive Radar Resource Allocation,https://www.sbir.gov/sbirsearch/detail/1605973,Air Force - DoD,,7/1/19,
AF192-026: Advanced Hyperspectral Exploitation Using 3D Spatial Information,https://100.24.82.110/sbirsearch/detail/1605975,Air Force - DoD,,7/1/19,
AF192-027: Compact Broadband Thermal Imaging and LWIR HSI Payload for Small Unmanned Aircraft System (SUAS),https://www.sbir.gov/sbirsearch/detail/1605977,Air Force - DoD,,7/1/19,
AF192-028: EO/IR-Specific State of the Art Machine Learning,https://www.sbir.gov/sbirsearch/detail/1605979,Air Force - DoD,,7/1/19,
AF192-029: High-Resolution Rapid Refresh (HRRR) Weather Nowcasts,https://www.sbir.gov/sbirsearch/detail/1605981,Air Force - DoD,,7/1/19,
AF192-030: Next Generation Miniature Charged Particle and Multi-Phenomenology Detectors,https://www.sbir.gov/sbirsearch/detail/1605983,Air Force - DoD,,7/1/19,
AF192-031: Non-destructive Imagery and Analysis Techniques for Identification of Deleterious Defects in Li-ion Batteries,https://www.sbir.gov/sbirsearch/detail/1605985,Air Force - DoD,,7/1/19,
AF192-032: Novel Sensor Solutions for Qualification of Additively Manufactured Launch and Space Vehicle Components,https://www.sbir.gov/sbirsearch/detail/1605987,Air Force - DoD,,7/1/19,
AF192-033: Next Generation Device Attachment Thermal Interface Material,https://www.sbir.gov/sbirsearch/detail/1605989,Air Force - DoD,,7/1/19,
AF192-034: Laboratory Benchtop Accelerator for Charged Particle Detector Calibration,https://www.sbir.gov/sbirsearch/detail/1605991,Air Force - DoD,,7/1/19,
AF192-035: Develop Prototype Hyperspectral Microwave Imager for Terrestrial Weather,https://www.sbir.gov/sbirsearch/detail/1605993,Air Force - DoD,,7/1/19,
AF192-036: Large Area Solar Simulator for Next Generation Solar Panels,https://www.sbir.gov/sbirsearch/detail/1605995,Air Force - DoD,,7/1/19,
AF192-037: Military GNSS Data Server,https://www.sbir.gov/sbirsearch/detail/1605997,Air Force - DoD,,7/1/19,
AF192-038: Development of Graphene Batteries for Use in Space Applications,https://www.sbir.gov/sbirsearch/detail/1605999,Air Force - DoD,,7/1/19,
AF192-039: Plug-and-Play Technology for Distributed Modular Propulsion Engine Controls Design,https://www.sbir.gov/sbirsearch/detail/1606001,Air Force - DoD,,7/1/19,
"AF192-040: Development of a High Performance, Printed Conformal Li Battery",https://100.24.82.110/sbirsearch/detail/1606003,Air Force - DoD,,7/1/19,
AF192-041: Erosion Resistant Coatings for Large-Diameter Gas Turbine Engine Compressor Integrally-Bladed Rotors (IBRs) and Lift-Fan Blades,https://100.24.82.110/sbirsearch/detail/1606005,Air Force - DoD,,7/1/19,
AF192-042: Advancement of High Energy Rechargeable Lithium Batteries,https://100.24.82.110/sbirsearch/detail/1606007,Air Force - DoD,,7/1/19,
AF192-043: High Performance Solid Rocket Propellant Replacement,https://www.sbir.gov/sbirsearch/detail/1606011,Air Force - DoD,,7/1/19,
"AF192-044: Propulsion for Agile, Resilient Spacecraft",https://www.sbir.gov/sbirsearch/detail/1606015,Air Force - DoD,,7/1/19,
AF192-045: Advanced Integrated Engine Control Test Bed for Development of Intelligent Systems and Smart Instrumentation,https://100.24.82.110/sbirsearch/detail/1606019,Air Force - DoD,,7/1/19,
AF192-046: Passive Coatings for Aircraft Drag Reduction,https://100.24.82.110/sbirsearch/detail/1606021,Air Force - DoD,,7/1/19,
AF192-047: MQ-9 Battery Technology Improvements,,Air Force - DoD,,7/1/19,
AF192-048: Hypersonic Vehicle Electrical Power Generation through Efficient Thermionic Conversion Devices,https://www.sbir.gov/sbirsearch/detail/1606025,Air Force - DoD,,7/1/19,
AF192-049: Data Science Based Approaches for Modeling Optimal Controls and PHM for Power and Thermal System Components.,https://www.sbir.gov/sbirsearch/detail/1606027,Air Force - DoD,,7/1/19,
"AF192-050: New Methods and Technologies Required for Heat Rejection from Next Generation Aircraft",https://www.sbir.gov/sbirsearch/detail/1606029,Air Force - DoD,,7/1/19,
"AF192-051: Optically Gated Wide Bandgap Semiconductors for Aircraft Electrical Actuator Motor Drives",https://www.sbir.gov/sbirsearch/detail/1606031,Air Force - DoD,,7/1/19,
"AF192-052: Additively Manufactured Reactor For high performance, non-toxic monopropellants",https://www.sbir.gov/sbirsearch/detail/1606033,Air Force - DoD,,7/1/19,
AF192-053: Development of High Energy Software Control System,https://www.sbir.gov/sbirsearch/detail/1606035,Air Force - DoD,,7/1/19,
AF192-054: Small High Reliability Electrical/Signal Connectors for Gas Turbine Engine Applications,https://www.sbir.gov/sbirsearch/detail/1606037,Air Force - DoD,,7/1/19,
AF192-055: New Concepts for High Temperature Turbine Engine Oil Pumps,https://www.sbir.gov/sbirsearch/detail/1606039,Air Force - DoD,,7/1/19,
AF192-056: Low Cost Mission Enabling Cold Start for Small Engines,https://www.sbir.gov/sbirsearch/detail/1606041,Air Force - DoD,,7/1/19,
"AF192-057: Dynamic Risk-Based Situational Awareness and Response",https://www.sbir.gov/sbirsearch/detail/1606043,Air Force - DoD,,7/1/19,
AF192-058: Delivery System and Compatible Chemicals for Rapid Collapse of Hi-EX Foam,https://www.sbir.gov/sbirsearch/detail/1606045,Air Force - DoD,,7/1/19,
AF192-059: Unmanned Aerial System (UAS) Aircraft Rescue and Firefighting (ARFF),https://www.sbir.gov/sbirsearch/detail/1606047,Air Force - DoD,,7/1/19,
AF192-060: A small multi-spectral Imagery Pod to Provide High Resolution Rangeland Management Data,https://www.sbir.gov/sbirsearch/detail/1606049,Air Force - DoD,,7/1/19,
AF192-061: Energy Storage/Real-Time Peak Shaving,https://www.sbir.gov/sbirsearch/detail/1606051,Air Force - DoD,,7/1/19,
AF192-062: Determination of Significant Failure Size for Finite Element Analysis (FEA),https://www.sbir.gov/sbirsearch/detail/1606053,Air Force - DoD,,7/1/19,
AF192-063: Ergonomic Dead Man Switch on Blast Nozzles,https://www.sbir.gov/sbirsearch/detail/1606055,Air Force - DoD,,7/1/19,
AF192-064: MIL-PRF-85285 Capable “Controlled-Spray” Head for Automated Stenciling of Aircraft Markings,https://www.sbir.gov/sbirsearch/detail/1606057,Air Force - DoD,,7/1/19,
"AF192-065: High Precision Non-Line-of-Sight Point Cloud Generation",https://www.sbir.gov/sbirsearch/detail/1606059,Air Force - DoD,,7/1/19,
AF192-066: All-electronic Switch Exceeding 10 THz,https://www.sbir.gov/sbirsearch/detail/1606061,Air Force - DoD,,7/1/19,
AF192-D001: Direct to Phase II Open Topic: Open Call for Innovative Defense-Related Dual-Purpose Technologies/Solutions with a Clear Air Force Stakeholder Need,https://www.sbir.gov/sbirsearch/detail/1606063,Air Force - DoD,,7/1/19,
AF192-D002: Personnel Recovery / Transport Vehicle,https://www.sbir.gov/sbirsearch/detail/1606067,Air Force - DoD,,7/1/19,
AF192-D003: Inexpensive Precision Air Delivery of Small Packages,https://www.sbir.gov/sbirsearch/detail/1606069,Air Force - DoD,,7/1/19,
AF192-D004: Transformational Air Mobility Systems,https://www.sbir.gov/sbirsearch/detail/1606071,Air Force - DoD,,7/1/19,
AF192-D005: Munitions End Game Effect Analysis Tool,https://www.sbir.gov/sbirsearch/detail/1606073,Air Force - DoD,,7/1/19,
AF192-D006: Large Aircraft Paint and Masking Laser Projection Capabilities,https://www.sbir.gov/sbirsearch/detail/1606075,Air Force - DoD,,7/1/19,
CBD192-001: Military Working Dog Decontamination Kit,https://www.sbir.gov/sbirsearch/detail/1606077,Chem Bio Defense - DoD,,7/1/19,
CBD192-002: On-site Treatment of Contaminated Equipment,https://www.sbir.gov/sbirsearch/detail/1606079,Chem Bio Defense - DoD,,7/1/19,
CBD192-003: A Mass Spectrometer Inlet Valve Synchronized to Pre-separated Sample Introduction,https://www.sbir.gov/sbirsearch/detail/1606083,Chem Bio Defense - DoD,,7/1/19,
CBD192-004: Phage therapy for bio-threat bacteria,https://www.sbir.gov/sbirsearch/detail/1606085,Chem Bio Defense - DoD,,7/1/19,
CBD192-005: Development (or Application) of a Non-Invasive Device to Measure Changes in Intra-Cranial Pressure resulting from Viral or Bacterial Infections of the Central Nervous System,https://www.sbir.gov/sbirsearch/detail/1606087,Chem Bio Defense - DoD,,7/1/19,
CBD192-006: Development of Small Molecule Therapeutics for Emerging Viral Agents,https://www.sbir.gov/sbirsearch/detail/1606089,Chem Bio Defense - DoD,,7/1/19,
CBD192-007: Optimized Platforms for Proper Glycosylation and Sialylation of Recombinant Human Butyrylcholinesterase (rBChE),https://www.sbir.gov/sbirsearch/detail/1606091,Chem Bio Defense - DoD,,7/1/19,
"CBD192-008: Long Duration Novel Opioid Medical Countermeasure for Intramuscular Injection",https://www.sbir.gov/sbirsearch/detail/1606095,Chem Bio Defense - DoD,,7/1/19,
DHA192-001: Development of a Clinical Decision Support Tool for Early-Detection of Directed Energy-Induced Injury to the Retina,https://www.sbir.gov/sbirsearch/detail/1606099,Biomedical - DoD,,7/1/19,
"DHA192-002: Treatment of Vestibular Impairment of Service Members after Traumatic Brain Injury through Use of an Individualized, Portable Neuromodulation Device",https://www.sbir.gov/sbirsearch/detail/1606101,Biomedical - DoD,,7/1/19,
DHA192-003: Forward Deployable Full Spectrum Oculomotor Assessment (OMA) and TBI Diagnostic Device,https://www.sbir.gov/sbirsearch/detail/1606103,Biomedical - DoD,,7/1/19,
DHA192-004: Solutions for Self-Control of Urinary Function and Control,https://www.sbir.gov/sbirsearch/detail/1606105,Biomedical - DoD,,7/1/19,
DHA192-005: Real Time Measurements of Tympanic Membrane and Middle Ear Mechanics,https://www.sbir.gov/sbirsearch/detail/1606107,Biomedical - DoD,,7/1/19,
DHA192-006: Tympanic Membrane Repair Material,https://www.sbir.gov/sbirsearch/detail/1606109,Biomedical - DoD,,7/1/19,
DHA192-D001: Advanced Haptics Development to Support Medical Simulated Training Environments,https://100.24.82.110/sbirsearch/detail/1606111,Biomedical - DoD,,7/1/19,
DLA192-001: Reverse Engineering Technical Data Packages for Development of Alternate Sources of Supply for DLA Nuclear Enterprise Support Office (NESO) Reverse Engineering Technical Data Packages for Development of Alternate Sources of Supply for DLA Nuclear Enter,https://www.sbir.gov/sbirsearch/detail/1606113,Defense Logistics Agency - DoD,,7/1/19,
DMEA192-001: Spatially Resolved Local Temperature Mapping with High Accuracy inside a Transmission Electron Microscope,https://www.sbir.gov/sbirsearch/detail/1606115,Defense Microelectronics Activity - DoD,,7/1/19,
DMEA192-002: Applications of Machine Learning and Machine Vision to Determine the Authenticity and Security of Microelectronics Parts in Weapons Systems,https://www.sbir.gov/sbirsearch/detail/1606117,Defense Microelectronics Activity - DoD,,7/1/19,
DMEA192-D01: Backside Inspection Frontside Electrical Stimulation System,https://www.sbir.gov/sbirsearch/detail/1606119,Defense Microelectronics Activity - DoD,,7/1/19,
DTRA192-001: Artificial Intelligence for the Testing and Analysis of Energetic Fills,https://www.sbir.gov/sbirsearch/detail/1606121, Defense Threat Reduction Agency - DoD,,7/1/19,
DTRA192-002: Deep Reinforcement Learning Methods and Simulated Learning Environments for Counter-Unmanned Aircraft Systems (C-UAS) Applications,https://www.sbir.gov/sbirsearch/detail/1606123, Defense Threat Reduction Agency - DoD,,7/1/19,
DTRA192-003: Supporting Continuity of Operations (COOP) through Resilient Blockchain Frameworks (SCOOP-RBF),https://www.sbir.gov/sbirsearch/detail/1606125, Defense Threat Reduction Agency - DoD,,7/1/19,
DTRA192-004: See-In-The-Wall (SITw) Imager Technology,https://www.sbir.gov/sbirsearch/detail/1606127, Defense Threat Reduction Agency - DoD,,7/1/19,
DTRA192-005: Multi-Platform 3-D Radiation Mapping with Enhanced Sensor Data Fusion and Visualization,https://www.sbir.gov/sbirsearch/detail/1606129, Defense Threat Reduction Agency - DoD,,7/1/19,
DTRA192-006: Windowless Alpha/beta detectors,https://www.sbir.gov/sbirsearch/detail/1606131, Defense Threat Reduction Agency - DoD,,7/1/19,
DTRA192-007: DEVELOPMENT OF CAMERA-MOTION INSENSITIVE DYNAMIC DIGITAL PHOTOGRAMMETRY USING DIGITAL IMAGE CORRELATION,https://www.sbir.gov/sbirsearch/detail/1606133, Defense Threat Reduction Agency - DoD,,7/1/19,
MDA19-001: Innovative Ejector Launch System,https://www.sbir.gov/sbirsearch/detail/1606135, Missile Defense Agency - DoD,,7/1/19,
MDA19-002: Database Optimization Tool,https://www.sbir.gov/sbirsearch/detail/1606137, Missile Defense Agency - DoD,,7/1/19,
MDA19-003: Material Solutions & Methods to Reduce Illuminator Radar Cross Section (RCS),https://www.sbir.gov/sbirsearch/detail/1606139, Missile Defense Agency - DoD,,7/1/19,
MDA19-004: Advanced Hierarchical Temporal Memory (HTM) Algorithm,https://www.sbir.gov/sbirsearch/detail/1606141, Missile Defense Agency - DoD,,7/1/19,
MDA19-005: Battle Management (BM) for Integrated Air and Missile Defense (IAMD),https://www.sbir.gov/sbirsearch/detail/1606143, Missile Defense Agency - DoD,,7/1/19,
MDA19-006: Bare-Metal Hypervisor (BMHy) for Integrated System Security,https://www.sbir.gov/sbirsearch/detail/1606145, Missile Defense Agency - DoD,,7/1/19,
MDA19-007: Supercapacitor Nano-architecture Using Bicarbon-based Materials Derived From Plant Cellulose,https://www.sbir.gov/sbirsearch/detail/1606147, Missile Defense Agency - DoD,,7/1/19,
MDA19-008: Uncertainty Quantification for Modeling and Testing of Carbon-Carbon (C-C) Materials,https://www.sbir.gov/sbirsearch/detail/1606149, Missile Defense Agency - DoD,,7/1/19,
MDA19-009: Self-Coding Cyber Fixes,https://www.sbir.gov/sbirsearch/detail/1606151, Missile Defense Agency - DoD,,7/1/19,
MDA19-010: Enabling Technologies for Forward Looking Interceptor Seekers/Sensors,https://www.sbir.gov/sbirsearch/detail/1606153, Missile Defense Agency - DoD,,7/1/19,
MDA19-011: Radiation Hardened Machine Vision Computer Solution,https://www.sbir.gov/sbirsearch/detail/1606155, Missile Defense Agency - DoD,,7/1/19,
MDA19-012: MIL-STD-1901A Compliant Igniter Energetics for Solid Rocket Motors,https://www.sbir.gov/sbirsearch/detail/1606157, Missile Defense Agency - DoD,,7/1/19,
MDA19-013: Additively Manufactured Thermal Protection/Thermal Management System for Hypersonic Flight,https://www.sbir.gov/sbirsearch/detail/1606161, Missile Defense Agency - DoD,,7/1/19,
MDA19-014: Continuous Communications Through Plasma During Hypersonic Flight,https://www.sbir.gov/sbirsearch/detail/1606163, Missile Defense Agency - DoD,,7/1/19,
MDA19-015: Flight Vehicle Surface Sensor Network,https://www.sbir.gov/sbirsearch/detail/1606165, Missile Defense Agency - DoD,,7/1/19,
MDA19-016: Lightweight Fins for Enhanced Maneuverability of a High-Speed Interceptor,https://www.sbir.gov/sbirsearch/detail/1606167, Missile Defense Agency - DoD,,7/1/19,
MDA19-017: Miniaturized Inflight-capable Laser Detection and Ranging (LADAR) System,https://www.sbir.gov/sbirsearch/detail/1606169, Missile Defense Agency - DoD,,7/1/19,
MDA19-018: Missile Aft Antenna (MAA) Design Rearrangement,https://www.sbir.gov/sbirsearch/detail/1606171, Missile Defense Agency - DoD,,7/1/19,
MDA19-019: Modeling of Fiber Laser Refractive Index Profiles and Dopant Index Profiles for Predicting High Power Fiber Laser Performance,https://www.sbir.gov/sbirsearch/detail/1606173, Missile Defense Agency - DoD,,7/1/19,
MDA19-020: Enabling Technologies for an Exo-atmospheric Neutral Particle Beam Sensor Weapon,https://www.sbir.gov/sbirsearch/detail/1606175, Missile Defense Agency - DoD,,7/1/19,
N192-045: Active Explosive Ordnance Disposal Bomb Suit Cooling System Vest (AEODSUV),https://www.navysbir.com/n19_2/N192-045.htm,Navy - DoD,,7/1/19,
N192-046: Lightweight Road Wheel (LwRW),https://www.navysbir.com/n19_2/N192-046.htm,Navy - DoD,,7/1/19,
N192-047: Mobile Recycling Facility – Expeditionary (MRF-X),https://www.navysbir.com/n19_2/N192-047.htm,Navy - DoD,,7/1/19,
N192-048: Automatic Track Generation Micro Preprocessor for Dismounted Electronic Warfare,https://www.navysbir.com/n19_2/N192-048.htm,Navy - DoD,,7/1/19,
N192-049: Family of Foreign Object Damage Mitigation Equipment (F2ME),https://www.navysbir.com/n19_2/N192-049.htm,Navy - DoD,,7/1/19,
"N192-050: Virtual Reality for Ground Vehicle Survivability, Lethality, and Vulnerability",https://www.sbir.gov/sbirsearch/detail/1606189,Navy - DoD,,7/1/19,
"N192-051: Wargaming Event Design Scenario Development and Execution Software Suite for Modeling and Simulation (M&S) Tool Automation",https://www.navysbir.com/n19_2/N192-051.htm,Navy - DoD,,7/1/19,
N192-052: Advanced Aircraft Electrical Load Management System,https://www.navysbir.com/n19_2/N192-052.htm,Navy - DoD,,7/1/19,
N192-053: Quantum Cascade Lasers Manufacturing 10X Cost Reduction,https://www.sbir.gov/sbirsearch/detail/1606195,Navy - DoD,,7/1/19,
N192-054: Lowering the Probability of an Adversary Recognizing Inverse Synthetic Aperture Dwells While Maintaining Vessel Classification Capabilities,https://www.navysbir.com/n19_2/N192-054.htm,Navy - DoD,,7/1/19,
N192-055: Long-Wave Infrared (IR) Window/Dome Life-Cycle Cost (LCC) Reduction,https://www.sbir.gov/sbirsearch/detail/1606199,Navy - DoD,,7/1/19,
N192-056: Holographic Optical Element for Free Space Optical Communication System on Mobile Platforms,https://www.navysbir.com/n19_2/N192-056.htm,Navy - DoD,,7/1/19,
N192-057: Advanced Alternative Gun Lubricant,https://www.navysbir.com/n19_2/N192-057.htm,Navy - DoD,,7/1/19,
N192-058: Predictor of Aircraft Structural Loads Due to Buffet,https://www.navysbir.com/n19_2/N192-058.htm,Navy - DoD,,7/1/19,
N192-059: Submarine Mast Discrimination Techniques for High-Altitude Maritime Surveillance Radar,https://www.navysbir.com/n19_2/N192-059.htm,Navy - DoD,,7/1/19,
N192-060: Multi-Sensor Sonobuoy,https://www.navysbir.com/n19_2/N192-060.htm,Navy - DoD,,7/1/19,
N192-061: Innovative Millimeter Wave Positioning System for Collision/Obstacle/Brown-Out with Sense and Avoidance,https://www.navysbir.com/n19_2/N192-061.htm,Navy - DoD,,7/1/19,
N192-062: Autonomous Unmanned Aerial Vehicle (UAV) Flight Without Supervisory Control,https://www.navysbir.com/n19_2/N192-062.htm,Navy - DoD,,7/1/19,
N192-063: High Dynamic Range Real-Time LIDAR Digitizer and Processor,https://www.navysbir.com/n19_2/N192-063.htm,Navy - DoD,,7/1/19,
N192-064: Real-Time Mapping from Over-Water Imagery,https://www.navysbir.com/n19_2/N192-064.htm,Navy - DoD,,7/1/19,
N192-065: Artificially Intelligent Object with Virtual Presentation of Engineering and Logistics Data,https://www.navysbir.com/n19_2/N192-065.htm,Navy - DoD,,7/1/19,
N192-066: Non-Invasive Radio Frequency System Characterization,https://www.sbir.gov/sbirsearch/detail/1606229,Navy - DoD,,7/1/19,
N192-067: Anti-reflective Surface for Infrared Optical Fiber Endfaces,https://www.sbir.gov/sbirsearch/detail/1606233,Navy - DoD,,7/1/19,
N192-068: Tool for Analysis to Predict Strength and Durability of Curved and Tapered Composite Structures under Multiaxial Loading,https://www.navysbir.com/n19_2/N192-068.htm,Navy - DoD,,7/1/19,
N192-070: Manned-Unmanned Directional Mesh Enhanced Tactical Airborne Networks,https://www.navysbir.com/n19_2/N192-070.htm,Navy - DoD,,7/1/19,
N192-071: Innovative Methods for Correlating Physiological Measures of Pilot Workload to Handling Qualities,https://www.navysbir.com/n19_2/N192-071.htm,Navy - DoD,,7/1/19,
"N192-072: Nondestructive Characterization of Microstructure and Grain Orientation on Large, Complex Parts",https://www.navysbir.com/n19_2/N192-072.htm,Navy - DoD,,7/1/19,
N192-073: Versatile Emitters,https://www.navysbir.com/n19_2/N192-073.htm,Navy - DoD,,7/1/19,
N192-074: Flow Forming Bomb Bodies,https://www.navysbir.com/n19_2/N192-074.htm,Navy - DoD,,7/1/19,
